fuzzer,benchmark,edges
aflplusplus_ast_f1,freetype2-2017,19303
aflplusplus_ast_o0,freetype2-2017,17690
aflplusplus_ast_o1,freetype2-2017,19923
aflplusplus_ast_o2,freetype2-2017,19327
aflplusplus_ast_o3,freetype2-2017,18936
aflplusplus_ast_f0,bloaty_fuzz_target,9195
aflplusplus_ast_f1,bloaty_fuzz_target,8973
aflplusplus_ast_o0,bloaty_fuzz_target,8991
aflplusplus_ast_o1,bloaty_fuzz_target,9435
aflplusplus_ast_o2,bloaty_fuzz_target,8715
aflplusplus_ast_o3,bloaty_fuzz_target,8912
aflplusplus_ast_f0,curl_curl_fuzzer_http,0
aflplusplus_ast_f1,curl_curl_fuzzer_http,0
aflplusplus_ast_o0,curl_curl_fuzzer_http,0
aflplusplus_ast_o1,curl_curl_fuzzer_http,0
aflplusplus_ast_o2,curl_curl_fuzzer_http,0
aflplusplus_ast_o3,curl_curl_fuzzer_http,0
aflplusplus_ast_f0,lcms-2017-03-21,2732
aflplusplus_ast_f1,lcms-2017-03-21,2220
aflplusplus_ast_o0,lcms-2017-03-21,2744
aflplusplus_ast_o1,lcms-2017-03-21,2425
aflplusplus_ast_o2,lcms-2017-03-21,2835
aflplusplus_ast_o3,lcms-2017-03-21,2684
aflplusplus_ast_f0,libpng-1.2.56,1834
aflplusplus_ast_f1,libpng-1.2.56,1777
aflplusplus_ast_o0,libpng-1.2.56,1780
aflplusplus_ast_o1,libpng-1.2.56,1823
aflplusplus_ast_o2,libpng-1.2.56,1775
aflplusplus_ast_o3,libpng-1.2.56,1770
aflplusplus_ast_o3_native,vorbis-2017-12-11,2282
aflplusplus_ast_opt_disable,vorbis-2017-12-11,2287
aflplusplus_ast_opt_l1,vorbis-2017-12-11,2291
aflplusplus_ast_o3_native,libjpeg-turbo-07-2017,3392
aflplusplus_ast_o3_native,harfbuzz-1.3.2,11535
aflplusplus_ast_opt_l1,harfbuzz-1.3.2,10994
aflplusplus_ast_o3_native,freetype2-2017,20877
aflplusplus_ast_opt_disable,freetype2-2017,17656
aflplusplus_ast_opt_l1,freetype2-2017,18105
aflplusplus_ast_o3_native,bloaty_fuzz_target,8652
aflplusplus_ast_opt_disable,bloaty_fuzz_target,10797
aflplusplus_ast_opt_l1,bloaty_fuzz_target,10430
aflplusplus_ast_o3_native,jsoncpp_jsoncpp_fuzzer,1534
aflplusplus_ast_opt_disable,jsoncpp_jsoncpp_fuzzer,1537
aflplusplus_ast_opt_l1,jsoncpp_jsoncpp_fuzzer,1536
aflplusplus_ast_o3_native,lcms-2017-03-21,3066
aflplusplus_ast_opt_disable,lcms-2017-03-21,2251
aflplusplus_ast_opt_l1,lcms-2017-03-21,2219
aflplusplus_ast_o3_native,libpng-1.2.56,1772
aflplusplus_ast_opt_disable,libpng-1.2.56,1696
aflplusplus_ast_opt_l1,libpng-1.2.56,1698
