benchmark,covered,not_covered,edges,total
libjpeg-turbo-07-2017,aflplusplus_ast_f0,aflplusplus_ast_o3_lto,12,3376
libjpeg-turbo-07-2017,aflplusplus_ast_f0,aflplusplus_ast_o3_native,28,3376
libjpeg-turbo-07-2017,aflplusplus_ast_f0,afl_from_input_seed,28,3376
libjpeg-turbo-07-2017,aflplusplus_ast_f1,aflplusplus_ast_f0,3,3378
libjpeg-turbo-07-2017,aflplusplus_ast_f1,aflplusplus_ast_f1,0,3378
libjpeg-turbo-07-2017,aflplusplus_ast_f1,aflplusplus_ast_o0,10,3378
libjpeg-turbo-07-2017,aflplusplus_ast_f1,aflplusplus_ast_o1,10,3378
libjpeg-turbo-07-2017,aflplusplus_ast_f1,aflplusplus_ast_o2,2,3378
libjpeg-turbo-07-2017,aflplusplus_ast_f1,aflplusplus_ast_o3,12,3378
libjpeg-turbo-07-2017,aflplusplus_ast_f1,aflplusplus_ast_o3_lto,12,3378
libjpeg-turbo-07-2017,aflplusplus_ast_f1,aflplusplus_ast_o3_native,27,3378
libjpeg-turbo-07-2017,aflplusplus_ast_f1,afl_from_input_seed,27,3378
libjpeg-turbo-07-2017,aflplusplus_ast_o0,aflplusplus_ast_f0,33,3399
libjpeg-turbo-07-2017,aflplusplus_ast_o0,aflplusplus_ast_f1,31,3399
libjpeg-turbo-07-2017,aflplusplus_ast_o0,aflplusplus_ast_o0,0,3399
libjpeg-turbo-07-2017,aflplusplus_ast_o0,aflplusplus_ast_o1,29,3399
libjpeg-turbo-07-2017,aflplusplus_ast_o0,aflplusplus_ast_o2,7,3399
libjpeg-turbo-07-2017,aflplusplus_ast_o0,aflplusplus_ast_o3,6,3399
libjpeg-turbo-07-2017,aflplusplus_ast_o0,aflplusplus_ast_o3_lto,33,3399
libjpeg-turbo-07-2017,aflplusplus_ast_o0,aflplusplus_ast_o3_native,48,3399
libjpeg-turbo-07-2017,aflplusplus_ast_o0,afl_from_input_seed,48,3399
libjpeg-turbo-07-2017,aflplusplus_ast_o1,aflplusplus_ast_f0,4,3370
libjpeg-turbo-07-2017,aflplusplus_ast_o1,aflplusplus_ast_f1,2,3370
libjpeg-turbo-07-2017,aflplusplus_ast_o1,aflplusplus_ast_o0,0,3370
libjpeg-turbo-07-2017,aflplusplus_ast_o1,aflplusplus_ast_o1,0,3370
libjpeg-turbo-07-2017,aflplusplus_ast_o1,aflplusplus_ast_o2,3,3370
libjpeg-turbo-07-2017,aflplusplus_ast_o1,aflplusplus_ast_o3,2,3370
libjpeg-turbo-07-2017,aflplusplus_ast_o1,aflplusplus_ast_o3_lto,4,3370
libjpeg-turbo-07-2017,aflplusplus_ast_o1,aflplusplus_ast_o3_native,19,3370
libjpeg-turbo-07-2017,aflplusplus_ast_o1,afl_from_input_seed,19,3370
libjpeg-turbo-07-2017,aflplusplus_ast_o2,aflplusplus_ast_f0,43,3416
libjpeg-turbo-07-2017,aflplusplus_ast_o2,aflplusplus_ast_f1,40,3416
libjpeg-turbo-07-2017,aflplusplus_ast_o2,aflplusplus_ast_o0,24,3416
libjpeg-turbo-07-2017,aflplusplus_ast_o2,aflplusplus_ast_o1,49,3416
libjpeg-turbo-07-2017,aflplusplus_ast_o2,aflplusplus_ast_o2,0,3416
libjpeg-turbo-07-2017,aflplusplus_ast_o2,aflplusplus_ast_o3,24,3416
libjpeg-turbo-07-2017,aflplusplus_ast_o2,aflplusplus_ast_o3_lto,52,3416
libjpeg-turbo-07-2017,aflplusplus_ast_o2,aflplusplus_ast_o3_native,65,3416
libjpeg-turbo-07-2017,aflplusplus_ast_o2,afl_from_input_seed,65,3416
libjpeg-turbo-07-2017,aflplusplus_ast_o3,aflplusplus_ast_f0,29,3393
libjpeg-turbo-07-2017,aflplusplus_ast_o3,aflplusplus_ast_f1,27,3393
libjpeg-turbo-07-2017,aflplusplus_ast_o3,aflplusplus_ast_o0,0,3393
libjpeg-turbo-07-2017,aflplusplus_ast_o3,aflplusplus_ast_o1,25,3393
libjpeg-turbo-07-2017,aflplusplus_ast_o3,aflplusplus_ast_o2,1,3393
libjpeg-turbo-07-2017,aflplusplus_ast_o3,aflplusplus_ast_o3,0,3393
libjpeg-turbo-07-2017,aflplusplus_ast_o3,aflplusplus_ast_o3_lto,29,3393
libjpeg-turbo-07-2017,aflplusplus_ast_o3,aflplusplus_ast_o3_native,42,3393
libjpeg-turbo-07-2017,aflplusplus_ast_o3,afl_from_input_seed,42,3393
harfbuzz-1.3.2,aflplusplus_ast_f0,aflplusplus_ast_f0,0,11036
harfbuzz-1.3.2,aflplusplus_ast_f0,aflplusplus_ast_f1,75,11036
harfbuzz-1.3.2,aflplusplus_ast_f0,aflplusplus_ast_o0,37,11036
harfbuzz-1.3.2,aflplusplus_ast_f0,aflplusplus_ast_o1,53,11036
harfbuzz-1.3.2,aflplusplus_ast_f0,aflplusplus_ast_o2,64,11036
harfbuzz-1.3.2,aflplusplus_ast_f0,aflplusplus_ast_o3,56,11036
harfbuzz-1.3.2,aflplusplus_ast_f1,aflplusplus_ast_f0,415,11376
harfbuzz-1.3.2,aflplusplus_ast_f1,aflplusplus_ast_f1,0,11376
harfbuzz-1.3.2,aflplusplus_ast_f1,aflplusplus_ast_o0,381,11376
harfbuzz-1.3.2,aflplusplus_ast_f1,aflplusplus_ast_o1,210,11376
harfbuzz-1.3.2,aflplusplus_ast_f1,aflplusplus_ast_o2,381,11376
harfbuzz-1.3.2,aflplusplus_ast_f1,aflplusplus_ast_o3,409,11376
harfbuzz-1.3.2,aflplusplus_ast_o0,aflplusplus_ast_f0,212,11211
harfbuzz-1.3.2,aflplusplus_ast_o0,aflplusplus_ast_f1,216,11211
harfbuzz-1.3.2,aflplusplus_ast_o0,aflplusplus_ast_o0,0,11211
harfbuzz-1.3.2,aflplusplus_ast_o0,aflplusplus_ast_o1,126,11211
harfbuzz-1.3.2,aflplusplus_ast_o0,aflplusplus_ast_o2,122,11211
harfbuzz-1.3.2,aflplusplus_ast_o0,aflplusplus_ast_o3,216,11211
harfbuzz-1.3.2,aflplusplus_ast_o1,aflplusplus_ast_f0,336,11319
harfbuzz-1.3.2,aflplusplus_ast_o1,aflplusplus_ast_f1,153,11319
harfbuzz-1.3.2,aflplusplus_ast_o1,aflplusplus_ast_o0,234,11319
harfbuzz-1.3.2,aflplusplus_ast_o1,aflplusplus_ast_o1,0,11319
harfbuzz-1.3.2,aflplusplus_ast_o1,aflplusplus_ast_o2,248,11319
harfbuzz-1.3.2,aflplusplus_ast_o1,aflplusplus_ast_o3,333,11319
harfbuzz-1.3.2,aflplusplus_ast_o2,aflplusplus_ast_f0,222,11194
harfbuzz-1.3.2,aflplusplus_ast_o2,aflplusplus_ast_f1,199,11194
harfbuzz-1.3.2,aflplusplus_ast_o2,aflplusplus_ast_o0,105,11194
harfbuzz-1.3.2,aflplusplus_ast_o2,aflplusplus_ast_o1,123,11194
harfbuzz-1.3.2,aflplusplus_ast_o2,aflplusplus_ast_o2,0,11194
harfbuzz-1.3.2,aflplusplus_ast_o2,aflplusplus_ast_o3,192,11194
harfbuzz-1.3.2,aflplusplus_ast_o3,aflplusplus_ast_f0,91,11071
harfbuzz-1.3.2,aflplusplus_ast_o3,aflplusplus_ast_f1,104,11071
harfbuzz-1.3.2,aflplusplus_ast_o3,aflplusplus_ast_o0,76,11071
harfbuzz-1.3.2,aflplusplus_ast_o3,aflplusplus_ast_o1,85,11071
harfbuzz-1.3.2,aflplusplus_ast_o3,aflplusplus_ast_o2,69,11071
harfbuzz-1.3.2,aflplusplus_ast_o3,aflplusplus_ast_o3,0,11071
freetype2-2017,aflplusplus_ast_f0,aflplusplus_ast_f0,0,19481
freetype2-2017,aflplusplus_ast_f0,aflplusplus_ast_f1,715,19481
freetype2-2017,aflplusplus_ast_f0,aflplusplus_ast_o0,763,19481
freetype2-2017,aflplusplus_ast_f0,aflplusplus_ast_o1,784,19481
freetype2-2017,aflplusplus_ast_f0,aflplusplus_ast_o2,421,19481
freetype2-2017,aflplusplus_ast_f0,aflplusplus_ast_o3,1275,19481
freetype2-2017,aflplusplus_ast_f0,aflplusplus_ast_o3_native,2165,19481
freetype2-2017,aflplusplus_ast_f0,aflplusplus_ast_opt_disable,3379,19481
freetype2-2017,aflplusplus_ast_f0,aflplusplus_ast_opt_l1,3325,19481
freetype2-2017,aflplusplus_ast_f0,afl_from_input_seed,758,19481
freetype2-2017,aflplusplus_ast_f1,aflplusplus_ast_f0,1927,20693
freetype2-2017,aflplusplus_ast_f1,aflplusplus_ast_f1,0,20693
freetype2-2017,aflplusplus_ast_f1,aflplusplus_ast_o0,1458,20693
freetype2-2017,aflplusplus_ast_f1,aflplusplus_ast_o1,314,20693
freetype2-2017,aflplusplus_ast_f1,aflplusplus_ast_o2,681,20693
freetype2-2017,aflplusplus_ast_f1,aflplusplus_ast_o3,1080,20693
freetype2-2017,aflplusplus_ast_f1,aflplusplus_ast_o3_native,3264,20693
freetype2-2017,aflplusplus_ast_f1,aflplusplus_ast_opt_disable,4606,20693
freetype2-2017,aflplusplus_ast_f1,aflplusplus_ast_opt_l1,4647,20693
freetype2-2017,aflplusplus_ast_f1,afl_from_input_seed,462,20693
freetype2-2017,aflplusplus_ast_o0,aflplusplus_ast_f0,930,19648
freetype2-2017,aflplusplus_ast_o0,aflplusplus_ast_f1,413,19648
freetype2-2017,aflplusplus_ast_o0,aflplusplus_ast_o0,0,19648
freetype2-2017,aflplusplus_ast_o0,aflplusplus_ast_o1,454,19648
freetype2-2017,aflplusplus_ast_o0,aflplusplus_ast_o2,377,19648
freetype2-2017,aflplusplus_ast_o0,aflplusplus_ast_o3,1078,19648
freetype2-2017,aflplusplus_ast_o0,aflplusplus_ast_o3_native,2333,19648
freetype2-2017,aflplusplus_ast_o0,aflplusplus_ast_opt_disable,3526,19648
freetype2-2017,aflplusplus_ast_o0,aflplusplus_ast_opt_l1,3551,19648
freetype2-2017,aflplusplus_ast_o0,afl_from_input_seed,431,19648
freetype2-2017,aflplusplus_ast_o1,aflplusplus_ast_f0,1951,20648
freetype2-2017,aflplusplus_ast_o1,aflplusplus_ast_f1,269,20648
freetype2-2017,aflplusplus_ast_o1,aflplusplus_ast_o0,1454,20648
freetype2-2017,aflplusplus_ast_o1,aflplusplus_ast_o1,0,20648
freetype2-2017,aflplusplus_ast_o1,aflplusplus_ast_o2,657,20648
freetype2-2017,aflplusplus_ast_o1,aflplusplus_ast_o3,1056,20648
freetype2-2017,aflplusplus_ast_o1,aflplusplus_ast_o3_native,3261,20648
freetype2-2017,aflplusplus_ast_o1,aflplusplus_ast_opt_disable,4538,20648
freetype2-2017,aflplusplus_ast_o1,aflplusplus_ast_opt_l1,4482,20648
freetype2-2017,aflplusplus_ast_o1,afl_from_input_seed,394,20648
freetype2-2017,aflplusplus_ast_o2,aflplusplus_ast_f0,1566,20626
